weapon,"1, 1, 0, 0"
watch,"1, 1, 0, 0"
wagon,"1, 1, 0, 1"
video,"1, 1, 0, 0"
vessel,"1, 1, 0, 1"
vehicle,"1, 1, 0, 1"
vat,"1, 1, 0, 1"
van,"1, 1, 0, 1"
truck,"1, 1, 0, 1"
trolley,"1, 1, 0, 0"
tray,"1, 1, 0, 0"
trap,"1, 1, 0, 1"
transmission,"1, 1, 0, 0"
train,"1, 1, 0, 0"
torch,"1, 1, 0, 1"
wing,"1, 1, 0, 0"
wire,"1, 1, 0, 0"
yacht,"1, 1, 0, 0"
